uid,numid,word,category,role,definition1,definition2,example1,example2,example3,example4,example5,bengali_def,bengali_ex1,bengali_ex2,bengali_ex3,refword,usage,review_note,comment,creation_date,active
138,344.8999999999999,Break down,3,Phrasal Verb,,,The car broke down just ten minutes into the journey.,We need to break down the costs before we can decide.,,,,Bengali translation of Break down,,,,,0,False,,2025-12-14 14:08:16,True
139,3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,,,,,,,,,,,0,False,,2025-10-25 14:08:16,True
140,344.99999999999994,Catch red-handed,2,Idiomatic Expression,To catch someone in the very act of doing something wrong.,,,,,,,,,,,,3,False,,2025-09-13 14:08:16,True
141,345.09999999999997,Turn over,3,Phrasal Verb,To hand something to someone in authority.,To start an engine.,,,,,,,,,,,0,False,,2025-05-15 14:08:16,True
142,3.1,Fondle,1,Transitive Verb,,,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,,,,,,3,False,,2026-03-17 14:08:16,True
143,345.2,Act impulsively,2,Idiomatic Expression,,,He acted impulsively and regretted it within hours.,,,,,,,,,,0,False,,2025-04-13 14:08:16,True
144,345.3,Adept at,3,Appropriate Preposition,,,She was adept at defusing tension with a well-timed remark.,,,,,,,,,,0,True,,2026-02-18 14:08:16,True
145,3.1,Fondle,1,Transitive Verb,,,,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,5,False,,2025-05-15 14:08:16,True
146,345.40000000000003,Act promptly,2,Idiomatic Expression,,,,,,,,Bengali translation of Act promptly,,,,,0,False,,2025-10-12 14:08:16,True
147,345.50000000000006,Catch up,3,Phrasal Verb,,,,,,,,Bengali translation of Catch up,,,,,0,False,,2026-01-07 14:08:16,True
148,-28.0,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,An example sentence using Inconspicuous in context.,,,,,Bengali translation of Inconspicuous,,,,,0,False,,2025-09-08 14:08:16,True
149,-53.0,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,"By the third year, he was just going through the motions.",,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-06-18 14:08:16,True
150,-36.0,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,An example sentence using Seek out in context.,,,,,Bengali translation of Seek out,,,,,0,False,,2025-11-08 14:08:16,True
151,-28.0,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,An example sentence using Inconspicuous in context.,,,,,,,,,,0,False,,2025-05-12 14:08:16,True
152,-53.0,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,"By the third year, he was just going through the motions.",,,,,,,,,,3,False,,2025-11-01 14:08:16,True
153,-36.0,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,An example sentence using Seek out in context.,,,,,,,,,,0,False,,2026-02-12 14:08:16,True
154,-28.0,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,,,,,,Bengali translation of Inconspicuous,,,,,0,False,,2025-12-30 14:08:16,True
155,-53.0,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-06-22 14:08:16,True
156,-36.0,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,,,,,,Bengali translation of Seek out,,,,,0,False,,2025-09-25 14:08:16,True
157,-28.0,Inconspicuous,1,Adjective,,,An example sentence using Inconspicuous in context.,,,,,Bengali translation of Inconspicuous,,,,,0,True,,2025-07-22 14:08:16,True
158,-53.0,Go through the motions,2,Idiomatic Expression,,,"By the third year, he was just going through the motions.",,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-10-12 14:08:16,True
159,-36.0,Seek out,3,Phrasal Verb,,,An example sentence using Seek out in context.,,,,,Bengali translation of Seek out,,,,,0,False,,2025-07-13 14:08:16,True
160,-28.0,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,,,,,,,,,,,0,True,,2025-08-10 14:08:16,True
161,-53.0,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,,,,,,3,False,,2026-02-17 14:08:16,True
162,-36.0,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,,,,,,,,,,,0,False,,2025-09-27 14:08:16,True
163,-28.0,Inconspicuous,1,Adjective,,,An example sentence using Inconspicuous in context.,,,,,,,,,,0,False,,2026-03-01 14:08:16,True
164,-53.0,Go through the motions,2,Idiomatic Expression,,,"By the third year, he was just going through the motions.",,,,,,,,,,3,True,,2025-07-08 14:08:16,True
