uid,numid,word,category,role,definition1,definition2,example1,example2,example3,example4,example5,bengali_def,bengali_ex1,bengali_ex2,bengali_ex3,refword,usage,review_note,comment,creation_date,active
18,201.10,Acquitted of,3,Appropriate Preposition,,,She was acquitted of all charges and walked free.,,,,,,,,,,2,False,,2025-04-16 14:08:15,True
19,4.00,Flatter,1,Transitive Verb,,,,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-06-03 14:08:15,True
20,201.20,Take the plunge,2,Idiomatic Expression,,,,,,,,Bengali translation of Take the plunge,,,,,3,True,,2025-12-30 14:08:15,True
21,201.30,Give in,3,Phrasal Verb,,,,,,,,Bengali translation of Give in,,,,,0,False,,2025-09-27 14:08:15,True
22,2.00,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,An example sentence using Relegation in context.,,,,,Bengali translation of Relegation,,,,,2,False,,2025-06-19 14:08:15,True
23,34.00,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-03-07 14:08:15,True
24,36.00,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,An example sentence using Come across in context.,,,,,Bengali translation of Come across,,,,,0,False,,2026-03-10 14:08:15,True
25,2.00,Ambiguity,1,Common Noun,The action of assigning an inferior rank or position to someone.,,An example sentence using Relegation in context.,,,,,,,,,,2,True,,2025-07-04 14:08:15,True
26,34.00,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,False,,2025-05-15 14:08:15,True
27,36.00,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,An example sentence using Come across in context.,,,,,,,,,,0,True,,2025-12-09 14:08:15,True
28,2.00,Candor,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,Bengali translation of Relegation,,,,,2,False,,2025-05-12 14:08:15,True
29,34.00,Burn the midnight oil,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-01-29 14:08:15,True
30,36.00,Act up,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,Bengali translation of Come across,,,,,0,False,,2025-07-09 14:08:15,True
31,2.00,Diligence,1,Common Noun,,,An example sentence using Relegation in context.,,,,,Bengali translation of Relegation,,,,,2,False,,2025-11-20 14:08:15,True
32,34.00,Spill the beans,2,Idiomatic Expression,,,An example sentence using Beat around the bush in context.,,,,,Bengali translation of Beat around the bush,,,,,0,True,,2026-03-04 14:08:15,True
33,36.00,Bear with,3,Phrasal Verb,,,An example sentence using Come across in context.,,,,,Bengali translation of Come across,,,,,0,True,,2025-06-26 14:08:15,True
34,2.00,Eloquence,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,,,,,,2,False,,2025-04-16 14:08:15,True
35,34.00,Hit the nail on the head,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,,,,,,,,,,,0,True,,2026-01-08 14:08:15,True
36,36.00,Check in,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,,,,,,0,False,,2026-04-06 14:08:15,True
37,2.00,Foresight,1,Common Noun,,,An example sentence using Relegation in context.,,,,,,,,,,2,False,,2025-09-04 14:08:15,True
38,34.00,Let the cat out of the bag,2,Idiomatic Expression,,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,True,,2025-08-15 14:08:15,True
39,36.00,Die down,3,Phrasal Verb,,,An example sentence using Come across in context.,,,,,,,,,,0,False,,2026-02-05 14:08:15,True
40,2.00,Gratitude,1,Common Noun,,,,,,,,Bengali translation of Relegation,,,,,2,True,,2026-03-21 14:08:15,True
41,34.00,Bite off more than one can chew,2,Idiomatic Expression,,,,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-01-01 14:08:15,True
42,36.00,Ease up,3,Phrasal Verb,,,,,,,,Bengali translation of Come across,,,,,0,False,,2025-10-02 14:08:15,True
43,1.00,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,True,,2026-03-15 14:08:15,True
44,201.40,Break new ground,2,Idiomatic Expression,To do something innovative or pioneering.,,An example sentence using Break new ground in context.,,,,,Bengali translation of Break new ground,,,,,0,False,,2025-11-07 14:08:15,True
45,201.50,Immune to,3,Appropriate Preposition,The meaning or usage of Immune to.,,An example sentence using Immune to in context.,,,,,Bengali translation of Immune to,,,,,0,False,,2025-06-21 14:08:15,True
46,1.00,Hubris,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,,,,,,0,False,,2025-11-18 14:08:15,True
47,201.60,Burn bridges,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,False,,2025-09-22 14:08:15,True
48,201.70,Look into,3,Phrasal Verb,To investigate or examine something.,,The committee agreed to look into the matter before the next session.,,,,,,,,,,0,False,,2026-01-14 14:08:15,True
49,1.00,Integrity,1,Common Noun,A natural tendency or inclination towards something.,,,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2025-05-31 14:08:15,True
50,201.80,Cost an arm and a leg,2,Idiomatic Expression,To refuse to change one's position or be moved by pressure.,,,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-08-08 14:08:15,True
51,201.90,Fall apart,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,Bengali translation of Come across,,,,,0,True,,2026-01-14 14:08:15,True
52,1.00,Jubilation,1,Common Noun,,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2025-08-29 14:08:15,True
53,202.00,Drive a hard bargain,2,Idiomatic Expression,,,An example sentence using Take the plunge in context.,,,,,Bengali translation of Take the plunge,,,,,3,False,,2025-06-05 14:08:15,True
54,202.10,Back down,3,Phrasal Verb,,,An example sentence using Back down in context.,,,,,Bengali translation of Back down,,,,,3,False,,2026-04-13 14:08:15,True
55,1.00,Kinship,1,Common Noun,A natural tendency or inclination towards something.,,,,,,,,,,,,0,False,,2025-11-07 14:08:15,True
56,202.20,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,,,,,,3,True,,2025-10-30 14:08:15,True
57,202.30,Addicted to,3,Appropriate Preposition,The correct preposition following 'acquitted'.,,,,,,,,,,,,2,False,,2026-02-14 14:08:15,True
58,1.00,Leniency,1,Common Noun,,,His proclivity for exaggeration made it hard to trust him.,,,,,,,,,,0,False,,2026-03-22 14:08:15,True
59,202.40,Act promptly,2,Idiomatic Expression,,,An example sentence using Act promptly in context.,,,,,,,,,,0,False,,2026-03-22 14:08:15,True
60,202.50,Give up,3,Phrasal Verb,,,An example sentence using Give up in context.,,,,,,,,,,0,False,,2026-02-14 14:08:15,True
61,1.00,Modesty,1,Common Noun,,,,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2026-03-26 14:08:15,True
62,202.60,Face the music,2,Idiomatic Expression,,,,,,,,Bengali translation of Mundane preoccupations,,,,,2,False,,2025-12-27 14:08:15,True
63,202.70,Qualified for,3,Appropriate Preposition,,,,,,,,Bengali translation of Qualified for,,,,,0,False,,2025-08-29 14:08:15,True
64,1.10,Disposition,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,Bengali translation of Disposition,,,,,0,False,,2025-09-30 14:08:15,True
65,202.80,Drag one's feet,2,Idiomatic Expression,To act slowly or reluctantly; to delay doing something.,,He had been dragging his feet on the application for months.,,,,,Bengali translation of Drag one's feet,,,,,3,False,,2025-05-02 14:08:15,True
66,202.90,Get away,3,Phrasal Verb,To escape from a place; to start suddenly.,,An example sentence using Break out in context.,,,,,Bengali translation of Break out,,,,,0,False,,2025-10-20 14:08:15,True
67,1.10,Novelty,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,,,,,,0,False,,2025-10-27 14:08:15,True
68,203.00,Get cold feet,2,Idiomatic Expression,To firmly warn someone that their behaviour is unacceptable.,,She read the riot act to the team after the third consecutive failure.,,,,,,,,,,3,False,,2025-11-28 14:08:15,True
69,203.10,Hand over,3,Phrasal Verb,To withdraw a claim or position; to concede.,,An example sentence using Back down in context.,,,,,,,,,,3,True,,2025-07-10 14:08:15,True
70,1.10,Optimism,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,,,,,,Bengali translation of Disposition,,,,,0,False,,2025-08-24 14:08:15,True
71,203.20,Hit rock bottom,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-05-22 14:08:15,True
72,203.30,Take up,3,Phrasal Verb,To begin a new hobby or activity.,To accept an offer or challenge.,,,,,,Bengali translation of Take up,,,,,0,True,,2025-08-31 14:08:15,True
73,1.10,Paradox,1,Common Noun,,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,Bengali translation of Disposition,,,,,0,False,,2025-06-02 14:08:15,True
74,203.40,Jump on the bandwagon,2,Idiomatic Expression,,,An example sentence using Take the plunge in context.,,,,,Bengali translation of Take the plunge,,,,,3,False,,2025-05-04 14:08:15,True
75,203.50,Burdened with,3,Appropriate Preposition,,,An example sentence using Immune to in context.,,,,,Bengali translation of Immune to,,,,,0,True,,2025-05-19 14:08:15,True
76,1.10,Quandary,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,,,,,,,,,,,0,False,,2025-05-28 14:08:15,True
77,203.60,Sit on the fence,2,Idiomatic Expression,The meaning or usage of Sit on the fence.,,,,,,,,,,,,3,True,,2025-08-08 14:08:15,True
78,203.70,Look down on,3,Phrasal Verb,The meaning or usage of Look down on.,,,,,,,,,,,,0,True,,2026-04-03 14:08:15,True
79,1.10,Resilience,1,Common Noun,,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,,,,,,0,False,,2025-12-18 14:08:15,True
80,203.80,Keep a low profile,2,Idiomatic Expression,,,An example sentence using Stand firm in context.,,,,,,,,,,0,False,,2025-11-02 14:08:15,True
81,203.90,Capable of,3,Appropriate Preposition,,,He was fully qualified for the role but was passed over anyway.,,,,,,,,,,0,False,,2025-09-27 14:08:15,True
82,1.10,Scrutiny,1,Common Noun,,,,,,,,Bengali translation of Disposition,,,,,0,False,,2025-04-30 14:08:15,True
83,204.00,Miss the boat,2,Idiomatic Expression,,,,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-07-31 14:08:15,True
84,204.10,Averse to,3,Appropriate Preposition,,,,,,,,Bengali translation of Averse to,,,,,1,False,,2025-09-24 14:08:15,True
85,-2.00,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,An example sentence using Promotion in context.,,,,,Bengali translation of Promotion,,,,,0,False,,2026-02-14 14:08:15,True
86,-34.00,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-10-06 14:08:15,True
87,39.00,Obsessed with,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,An example sentence using Obsessed with in context.,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-09-02 14:08:15,True
88,-2.00,Turmoil,1,Common Noun,The act of raising someone to a higher position or rank.,,An example sentence using Promotion in context.,,,,,,,,,,0,False,,2025-08-25 14:08:15,True
89,-34.00,On thin ice,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,,,,,,0,False,,2025-08-01 14:08:15,True
90,39.00,Dedicated to,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,An example sentence using Obsessed with in context.,,,,,,,,,,0,True,,2025-05-14 14:08:15,True
91,-2.00,Urgency,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,Bengali translation of Promotion,,,,,0,False,,2025-09-16 14:08:15,True
92,-34.00,Pull strings,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,,,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-11-04 14:08:15,True
93,39.00,Envious of,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-15 14:08:15,True
94,-2.00,Vanity,1,Common Noun,,,An example sentence using Promotion in context.,,,,,Bengali translation of Promotion,,,,,0,False,,2026-01-29 14:08:15,True
95,-34.00,Raise the bar,2,Idiomatic Expression,,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,True,,2025-11-06 14:08:15,True
96,39.00,Fond of,3,Appropriate Preposition,,,An example sentence using Obsessed with in context.,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-26 14:08:15,True
97,-2.00,Wrath,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,,,,,,0,False,,2025-11-02 14:08:15,True
98,-34.00,See eye to eye,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,,,,,,,,,,,0,False,,2025-10-25 14:08:15,True
99,39.00,Grateful for,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,,,,,,,,,,,0,False,,2025-05-08 14:08:15,True
100,-2.00,Yearning,1,Common Noun,,,An example sentence using Promotion in context.,,,,,,,,,,0,False,,2025-12-01 14:08:15,True
101,-34.00,Steal the show,2,Idiomatic Expression,,,"She got straight to the point, which everyone in the room appreciated.",,,,,,,,,,0,False,,2025-07-07 14:08:15,True
102,39.00,Hopeful for,3,Appropriate Preposition,,,An example sentence using Obsessed with in context.,,,,,,,,,,0,True,,2026-01-22 14:08:15,True
103,-2.00,Zeal,1,Common Noun,,,,,,,,Bengali translation of Promotion,,,,,0,False,,2025-10-04 14:08:15,True
104,-34.00,Turn over a new leaf,2,Idiomatic Expression,,,,,,,,Bengali translation of Get straight to the point,,,,,0,False,,2026-01-16 14:08:15,True
105,39.00,Indulged in,3,Appropriate Preposition,,,,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-09 14:08:15,True
106,104.00,Placate,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,Small concessions were enough to placate the more moderate critics.,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,True,,2025-09-03 14:08:15,True
107,204.20,Out of the ordinary,2,Idiomatic Expression,Different from what is usual or expected; remarkable.,,An example sentence using Out of the ordinary in context.,,,,,Bengali translation of Out of the ordinary,,,,,0,False,,2026-01-27 14:08:15,True
108,214.20,Iron out,3,Phrasal Verb,The meaning or usage of Look down on.,,An example sentence using Look down on in context.,,,,,Bengali translation of Look down on,,,,,0,True,,2026-04-04 14:08:15,True
109,104.00,Goad,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,Small concessions were enough to placate the more moderate critics.,,,,,,,,,,0,True,,2026-01-05 14:08:15,True
110,224.20,Pull one's weight,2,Idiomatic Expression,The meaning or usage of Pull one's weight.,,An example sentence using Pull one's weight in context.,,,,,,,,,,0,False,,2025-12-27 14:08:15,True
111,234.20,Jealous of,3,Appropriate Preposition,The meaning or usage of Immune to.,,An example sentence using Immune to in context.,,,,,,,,,,0,False,,2025-08-23 14:08:15,True
112,104.00,Hinder,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-12-20 14:08:15,True
113,244.20,Catch red-handed,2,Idiomatic Expression,To catch someone in the very act of doing something wrong.,,,,,,,Bengali translation of Catch red-handed,,,,,3,False,,2026-01-30 14:08:15,True
114,254.20,Join in,3,Phrasal Verb,The meaning or usage of Give in.,,,,,,,Bengali translation of Give in,,,,,0,True,,2025-07-06 14:08:15,True
115,104.00,Intimidate,1,Transitive Verb,,,Small concessions were enough to placate the more moderate critics.,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-04-28 14:08:16,True
116,264.20,Up in the air,2,Idiomatic Expression,,,An example sentence using Break new ground in context.,,,,,Bengali translation of Break new ground,,,,,0,False,,2025-07-27 14:08:16,True
117,274.20,Knuckle down,3,Phrasal Verb,,,An example sentence using Knuckle down in context.,,,,,Bengali translation of Knuckle down,,,,,3,False,,2025-05-03 14:08:16,True
118,104.00,Justify,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,,,,,,,,,,,0,False,,2025-05-12 14:08:16,True
119,284.20,Run-of-the-mill,2,Idiomatic Expression,Ordinary; lacking any special or distinctive quality.,,,,,,,,,,,,3,True,,2026-03-09 14:08:16,True
120,294.20,Give away,3,Phrasal Verb,The meaning or usage of Give away.,,,,,,,,,,,,0,False,,2025-07-06 14:08:16,True
121,104.00,Kindle,1,Transitive Verb,,,Small concessions were enough to placate the more moderate critics.,,,,,,,,,,0,True,,2025-04-14 14:08:16,True
122,304.20,Vent one's spleen,2,Idiomatic Expression,,,An example sentence using Break new ground in context.,,,,,,,,,,0,False,,2026-04-10 14:08:16,True
123,314.20,Absorbed in,3,Appropriate Preposition,,,An example sentence using Absorbed in in context.,,,,,,,,,,0,False,,2026-01-23 14:08:16,True
124,104.00,Loathe,1,Transitive Verb,,,,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-08-30 14:08:16,True
125,324.20,Weather the storm,2,Idiomatic Expression,,,,,,,,Bengali translation of Act promptly,,,,,0,False,,2026-03-27 14:08:16,True
126,334.20,Bring about,3,Phrasal Verb,,,,,,,,Bengali translation of Bring about,,,,,0,False,,2025-10-19 14:08:16,True
127,3.10,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,6,True,,2026-02-11 14:08:16,True
128,344.20,Cross that bridge when one comes to it,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-08-03 14:08:16,True
129,344.30,Keep up,3,Phrasal Verb,The meaning or usage of Knuckle down.,,An example sentence using Knuckle down in context.,,,,,Bengali translation of Knuckle down,,,,,3,False,,2026-04-09 14:08:16,True
130,3.10,Manipulate,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,,,,,,5,False,,2026-02-10 14:08:16,True
131,344.40,Hold one's ground,2,Idiomatic Expression,The meaning or usage of Hold one's ground.,,An example sentence using Hold one's ground in context.,,,,,,,,,,0,False,,2025-04-22 14:08:16,True
132,344.50,Catch up,3,Phrasal Verb,The meaning or usage of Catch up.,,An example sentence using Catch up in context.,,,,,,,,,,0,False,,2025-05-30 14:08:16,True
133,3.10,Nullify,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,6,False,,2026-02-06 14:08:16,True
134,344.60,Cut to the quick,2,Idiomatic Expression,More advanced than current trends; at the cutting edge.,,,,,,,Bengali translation of Ahead of the curve,,,,,3,False,,2026-01-04 14:08:16,True
135,344.70,Let down,3,Phrasal Verb,To search for information in a reference source.,To visit someone after a period of absence.,,,,,,Bengali translation of Look up,,,,,0,True,,2025-12-26 14:08:16,True
136,3.10,Ostracize,1,Transitive Verb,,,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,4,False,,2025-04-26 14:08:16,True
137,344.80,Draw the line,2,Idiomatic Expression,,,An example sentence using Pull one's weight in context.,,,,,Bengali translation of Pull one's weight,,,,,0,True,,2025-11-09 14:08:16,True
138,344.90,Break down,3,Phrasal Verb,,,The car broke down just ten minutes into the journey.,We need to break down the costs before we can decide.,,,,Bengali translation of Break down,,,,,0,False,,2025-12-14 14:08:16,True
139,3.10,Provoke,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,,,,,,,,,,,0,False,,2025-10-25 14:08:16,True
140,345.00,Eat humble pie,2,Idiomatic Expression,To catch someone in the very act of doing something wrong.,,,,,,,,,,,,3,False,,2025-09-13 14:08:16,True
141,345.10,Turn over,3,Phrasal Verb,To hand something to someone in authority.,To start an engine.,,,,,,,,,,,0,False,,2025-05-15 14:08:16,True
142,3.10,Quell,1,Transitive Verb,,,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,,,,,,3,False,,2026-03-17 14:08:16,True
143,345.20,Act impulsively,2,Idiomatic Expression,,,He acted impulsively and regretted it within hours.,,,,,,,,,,0,False,,2025-04-13 14:08:16,True
144,345.30,Adept at,3,Appropriate Preposition,,,She was adept at defusing tension with a well-timed remark.,,,,,,,,,,0,True,,2026-02-18 14:08:16,True
145,3.10,Rebuke,1,Transitive Verb,,,,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,5,False,,2025-05-15 14:08:16,True
146,345.40,Find one's feet,2,Idiomatic Expression,,,,,,,,Bengali translation of Act promptly,,,,,0,False,,2025-10-12 14:08:16,True
147,345.50,Move on,3,Phrasal Verb,,,,,,,,Bengali translation of Catch up,,,,,0,False,,2026-01-07 14:08:16,True
148,-28.00,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,An example sentence using Inconspicuous in context.,,,,,Bengali translation of Inconspicuous,,,,,0,False,,2025-09-08 14:08:16,True
149,-53.00,Get the ball rolling,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,"By the third year, he was just going through the motions.",,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-06-18 14:08:16,True
150,-36.00,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,An example sentence using Seek out in context.,,,,,Bengali translation of Seek out,,,,,0,False,,2025-11-08 14:08:16,True
151,-28.00,Ambivalent,1,Adjective,Not clearly visible or attracting attention; not prominent.,,An example sentence using Inconspicuous in context.,,,,,,,,,,0,False,,2025-05-12 14:08:16,True
152,-53.00,Have a bone to pick,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,"By the third year, he was just going through the motions.",,,,,,,,,,3,False,,2025-11-01 14:08:16,True
153,-36.00,Seek out,3,Phrasal Verb,The meaning or usage of Seek out.,,An example sentence using Seek out in context.,,,,,,,,,,0,False,,2026-02-12 14:08:16,True
154,-28.00,Benevolent,1,Adjective,Not clearly visible or attracting attention; not prominent.,,,,,,,Bengali translation of Inconspicuous,,,,,0,False,,2025-12-30 14:08:16,True
155,-53.00,Keep one's chin up,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-06-22 14:08:16,True
156,-36.00,Note down,3,Phrasal Verb,The meaning or usage of Seek out.,,,,,,,Bengali translation of Seek out,,,,,0,False,,2025-09-25 14:08:16,True
157,-28.00,Capricious,1,Adjective,,,An example sentence using Inconspicuous in context.,,,,,Bengali translation of Inconspicuous,,,,,0,True,,2025-07-22 14:08:16,True
158,-53.00,Lay cards on the table,2,Idiomatic Expression,,,"By the third year, he was just going through the motions.",,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-10-12 14:08:16,True
159,-36.00,Open up,3,Phrasal Verb,,,An example sentence using Seek out in context.,,,,,Bengali translation of Seek out,,,,,0,False,,2025-07-13 14:08:16,True
160,-28.00,Devious,1,Adjective,Not clearly visible or attracting attention; not prominent.,,,,,,,,,,,,0,True,,2025-08-10 14:08:16,True
161,-53.00,Make ends meet,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,,,,,,3,False,,2026-02-17 14:08:16,True
162,-36.00,Pass out,3,Phrasal Verb,The meaning or usage of Seek out.,,,,,,,,,,,,0,False,,2025-09-27 14:08:16,True
163,-28.00,Fastidious,1,Adjective,,,An example sentence using Inconspicuous in context.,,,,,,,,,,0,False,,2026-03-01 14:08:16,True
164,-53.00,Nip in the bud,2,Idiomatic Expression,,,"By the third year, he was just going through the motions.",,,,,,,,,,3,True,,2025-07-08 14:08:16,True
165,-36.00,Queue up,3,Phrasal Verb,,,An example sentence using Seek out in context.,,,,,,,,,,0,False,,2025-11-24 14:08:16,True
166,-28.00,Gregarious,1,Adjective,,,,,,,,Bengali translation of Inconspicuous,,,,,0,False,,2025-09-13 14:08:16,True
167,-53.00,Once in a blue moon,2,Idiomatic Expression,,,,,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-11-16 14:08:16,True
168,-36.00,Rule out,3,Phrasal Verb,,,,,,,,Bengali translation of Seek out,,,,,0,False,,2025-10-22 14:08:16,True
